query,original_query,concepts
"trees of of the southern and north central united states, but not trees of eastern canada",<mark>Flora of the Southern United States</mark> that are also <mark>Trees of the North-Central United States</mark> but not <mark>Trees of Eastern Canada</mark>,"[""trees"", ""Southern United States"", ""North Central United States"", ""NOT Eastern Canada""]"
Books about Islamic fundamentalism but not ideologies,<mark>Books about Islamic fundamentalism</mark> that are not <mark>Books about ideologies</mark>,"[""books"", ""Islamic fundamentalism"", ""NOT ideologies""]"
Science books about cultural geography but not Psychology,<mark>Science books</mark> that are also <mark>Books about cultural geography</mark> but not <mark>Psychology books</mark>,"[""books"", ""science"", ""cultural geography"", ""NOT psychology""]"
"Movies that are either German psychological drama, French psychological horror, or Danish nonlinear narrative genres.",<mark>German psychological drama films</mark> or <mark>French psychological horror films</mark> or <mark>Danish nonlinear narrative films</mark>,"[""German psychological drama movies"", ""French psychological horror movies"", ""Danish nonlinear narrative movies""]"
"2010 non fiction books that are non LGBT related, but about sexuality",<mark>2010s non-fiction books</mark> that are also <mark>Non-fiction books about sexuality</mark> but not <mark>LGBT-related books</mark>,"[""publication year: 2010"", ""format: book"", ""genre: non-fiction"", ""topic: human sexuality"", ""exclude: LGBT/LGBTQ themes""]"
1960s spy comedy American thriller films,<mark>1960s spy comedy films</mark> that are also <mark>American thriller films</mark>,"[""1960s"", ""American films"", ""spy comedy films"", ""thriller films""]"
Flora of North Korea or Orchids of Guizhou or Sichuan,<mark>Flora of North Korea</mark> or <mark>Orchids of Guizhou</mark> or <mark>Orchids of Sichuan</mark>,"[""Flora of North Korea"", ""Orchids of Guizhou"", ""Orchids of Sichuan""]"
Books about bacon or Andrews McMeel Publishing,<mark>Andrews McMeel Publishing books</mark> or <mark>Books about bacon</mark>,"[""books"", ""topic: bacon"", ""publisher: Andrews McMeel Publishing""]"
Novels about nobility that are not Historical,<mark>Novels about nobility</mark> that are not <mark>Historical novels</mark>,"[""novels"", ""nobility / aristocracy / royalty"", ""NOT historical fiction""]"
Trees of the Western and Northwestern United States that are also in Mexico,<mark>Trees of the Western United States</mark> that are also both <mark>Trees of Mexico</mark> and <mark>Trees of the Northwestern United States</mark>,"[""trees"", ""Western United States"", ""Northwestern United States"", ""Mexico""]"
films about criminals in performing arts that doesn't involve stalking,<mark>Films about performing arts</mark> that are also <mark>Films about criminals</mark> but not <mark>Films about stalking</mark>,"[""films"", ""criminal protagonists"", ""performing arts setting (theater/music/dance/show business)"", ""exclude stalking""]"
find me 1858 French novels or French children's novels,<mark>1858 French novels</mark> or <mark>French children's novels</mark>,"[""French novels published in 1858"", ""French children's novels""]"
Endemic fauna from Albania,<mark>Endemic fauna of Albania</mark>,"[""Albania"", ""fauna"", ""endemic species""]"
"Pinnipeds of Africa, Oceania, or Monachines",<mark>Pinnipeds of Africa</mark> or <mark>Pinnipeds of Oceania</mark> or <mark>Monachines</mark>,"[""pinnipeds"", ""Africa"", ""Oceania"", ""Monachines""]"
Kidnapping films in the UK,<mark>Films about kidnapping in the United Kingdom</mark>,"[""kidnapping theme"", ""abduction theme"", ""hostage situation"", ""feature films"", ""set in the United Kingdom""]"
Birds described in 1957 or Endemic birds of Panama,<mark>Endemic birds of Panama</mark> or <mark>Birds described in 1957</mark>,"[""birds"", ""described in 1957"", ""endemic to Panama""]"
what are Mesozoic cephalopods of North America or Asia,<mark>Mesozoic cephalopods of North America</mark> or <mark>Mesozoic cephalopods of Asia</mark>,"[""Cephalopods"", ""Mesozoic"", ""North America"", ""Asia""]"
History books about Hinduism or Books about Hindutva,<mark>Books about Hindutva</mark> or <mark>History books about Hinduism</mark>,"[""books"", ""history of Hinduism"", ""Hindutva""]"
Biographical documentary crime war films but not about genocide,<mark>Crime war films</mark> that are also <mark>Biographical documentary films</mark> but not <mark>Films about genocide</mark>,"[""film"", ""biographical"", ""documentary"", ""crime"", ""war"", ""NOT genocide""]"
what are Novels by Ernst Jünger,<mark>Novels by Ernst Jünger</mark>,"[""Ernst J\u00fcnger"", ""novels""]"
Birds found in Sierra Madre Oriental that aren't found in Sierra Madre Occidental,<mark>Birds of the Sierra Madre Oriental</mark> that are not <mark>Birds of the Sierra Madre Occidental</mark>,"[""birds"", ""found in Sierra Madre Oriental"", ""not found in Sierra Madre Occidental""]"
1985 speculative fiction novels that are not Science fiction.,<mark>1985 speculative fiction novels</mark> that are not <mark>Science fiction novels</mark>,"[""publication year: 1985"", ""format: novel"", ""genre: speculative fiction"", ""NOT genre: science fiction""]"
Rodents of Malaysia that are not in Indonesia,<mark>Rodents of Malaysia</mark> that are not <mark>Rodents of Indonesia</mark>,"[""rodents"", ""Malaysia"", ""NOT Indonesia""]"
Novels set in elementary and primary schools excluding American children's novels,<mark>Novels set in elementary and primary schools</mark> that are not <mark>American children's novels</mark>,"[""novel"", ""elementary or primary school setting"", ""exclude American children's novels""]"
Flora of Palau or Guam or Carnivorous plants of the Pacific,<mark>Flora of Guam</mark> or <mark>Carnivorous plants of the Pacific</mark> or <mark>Flora of Palau</mark>,"[""Flora of Palau"", ""Flora of Guam"", ""Carnivorous plants of the Pacific""]"
Birds of islands of the Atlantic Ocean and Vertebrates of Belize,<mark>Vertebrates of Belize</mark> that are also <mark>Birds of islands of the Atlantic Ocean</mark>,"[""Birds"", ""Vertebrates"", ""Islands"", ""Atlantic Ocean"", ""Belize""]"
Extinct animals from the Quaternary period or extinct birds from Europe,<mark>Quaternary animals of Europe</mark> or <mark>Extinct birds of Europe</mark>,"[""extinct animals"", ""Quaternary period"", ""extinct birds"", ""Europe""]"
Mammals from Lesotho,<mark>Mammals of Lesotho</mark>,"[""mammals"", ""Lesotho""]"
Angiosperms of Manchuria,<mark>Flora of Manchuria</mark> that are also <mark>Angiosperms</mark>,"[""angiosperms"", ""flowering plants"", ""Magnoliophyta"", ""Manchuria"", ""Northeast China"", ""flora""]"
"Japanese LGBT novels, Shueisha novels, or novels by Yukio Mishima",<mark>Shueisha books</mark> or <mark>Japanese LGBT novels</mark> or <mark>Novels by Yukio Mishima</mark>,"[""Japanese LGBT novels"", ""Shueisha-published novels"", ""Yukio Mishima novels""]"
Non historical novels set in Vietnam,<mark>Novels set in Vietnam</mark> that are not <mark>Historical novels</mark>,"[""novels"", ""set in Vietnam"", ""exclude: historical fiction"", ""contemporary/modern setting""]"
Flora of the United States that are both Flora of the Western United States and Apiaceae genera,<mark>Flora of the United States</mark> that are also both <mark>Flora of the Western United States</mark> and <mark>Apiaceae genera</mark>,"[""Flora of the United States"", ""Flora of the Western United States"", ""Apiaceae genera""]"
"Plants that exist in Mexico, Peru, and Nigeria",<mark>Flora of Mexico</mark> that are also both <mark>Flora of Peru</mark> and <mark>Flora of Nigeria</mark>,"[""plant species"", ""occurs in Mexico"", ""occurs in Peru"", ""occurs in Nigeria""]"
Horror war films that are not Monster movies,<mark>Horror war films</mark> that are not <mark>Monster movies</mark>,"[""horror"", ""war"", ""film"", ""NOT monster movies""]"
what are the Flora of the Zanzibar Archipelago,<mark>Flora of the Zanzibar Archipelago</mark>,"[""Flora"", ""Zanzibar Archipelago"", ""Unguja (Zanzibar Island)"", ""Pemba Island"", ""Tanzania""]"
what are  some Flora of Madagascar that are also Magnoliales genera?,<mark>Flora of Madagascar</mark> that are also <mark>Magnoliales genera</mark>,"[""Flora of Madagascar"", ""Magnoliales genera""]"
Non American pornographic horror films,<mark>Pornographic films</mark> that are also <mark>Pornographic horror films</mark> but not <mark>American pornographic films</mark>,"[""horror genre"", ""pornographic content"", ""feature films"", ""non-American production""]"
Non-comedic musical films from 1932,<mark>1932 musical films</mark> that are not <mark>1930s comedy films</mark>,"[""film"", ""musical"", ""released in 1932"", ""exclude comedy""]"
what are some Birds described in 2004,<mark>Birds described in 2004</mark>,"[""birds"", ""species described"", ""year 2004""]"
Insects found in both Africa and the Canary Islands,<mark>Insects of Africa</mark> that are also both <mark>Moths of Africa</mark> and <mark>Fauna of the Canary Islands</mark>,"[""insects"", ""occurs in Africa"", ""occurs in the Canary Islands""]"
Mammals from both North and South America that are Neogene,<mark>Fauna of North America</mark> that are also both <mark>Miocene mammals of South America</mark> and <mark>Neogene mammals</mark>,"[""Mammalia"", ""Neogene"", ""North America"", ""South America""]"
Flora of French Guiana but not Brazil,<mark>Flora of French Guiana</mark> that are not <mark>Flora of Brazil</mark>,"[""plant species"", ""present in French Guiana"", ""absent from Brazil""]"
"Irish slasher, Irish supernatural horror, or Swedish comedy horror films",<mark>Swedish comedy horror films</mark> or <mark>Irish slasher films</mark> or <mark>Irish supernatural horror films</mark>,"[""Irish slasher films"", ""Irish supernatural horror films"", ""Swedish comedy horror films""]"
American spy and drama films about mental health,<mark>Films about mental health</mark> that are also both <mark>American spy films</mark> and <mark>Drama films</mark>,"[""American films"", ""Spy films"", ""Drama films"", ""Films about mental health""]"
Films based on Around the World in Eighty Days or set in Sylhet,<mark>Films set in Sylhet</mark> or <mark>Films based on Around the World in Eighty Days</mark>,"[""films"", ""film adaptations of Jules Verne's Around the World in Eighty Days"", ""films set in Sylhet (Bangladesh)""]"
1979 American Biographical novels,<mark>Biographical novels</mark> that are also <mark>1979 American novels</mark>,"[""Publication year: 1979"", ""American literature"", ""Biographical fiction"", ""Novels""]"
Avant-garde and experimental films from 1910,<mark>1910s avant-garde and experimental films</mark>,"[""films"", ""avant-garde"", ""experimental"", ""year: 1910""]"
what are some movies based on works by Alexander Ostrovsky,<mark>Films based on works by Alexander Ostrovsky</mark>,"[""films"", ""adaptations of plays"", ""Alexander Ostrovsky (playwright)""]"
Films based on works by Bob Kane that are not animated DC comic films,<mark>Films based on works by Bob Kane</mark> that are not <mark>Animated films based on DC Comics</mark>,"[""films"", ""based on works by Bob Kane"", ""DC Comics"", ""NOT animated""]"
Trees of the Caribbean that are also in the Southeastern United States and western South America,<mark>Flora of the Caribbean</mark> that are also both <mark>Trees of the Southeastern United States</mark> and <mark>Trees of western South America</mark>,"[""tree species"", ""Caribbean"", ""Southeastern United States"", ""Western South America""]"
1903 or Spanish silent short films,<mark>Spanish silent short films</mark> or <mark>1903 short films</mark>,"[""films"", ""release year: 1903"", ""Spanish films"", ""silent films"", ""short films""]"
Fauna of the Caribbean that are Fauna of East Asia,<mark>Fauna of the Caribbean</mark> that are also <mark>Fauna of East Asia</mark>,"[""Fauna of the Caribbean"", ""Fauna of East Asia""]"
1992 American children's comedy animated musical films,<mark>1992 films</mark> that are also both <mark>Animated musical films</mark> and <mark>American children's comedy films</mark>,"[""release year: 1992"", ""American films"", ""children's films"", ""animated films"", ""comedy films"", ""musical films""]"
"1558, 1554, or 1555 books",<mark>1558 books</mark> or <mark>1554 books</mark> or <mark>1555 books</mark>,"[""format: books"", ""publication year: 1558"", ""publication year: 1554"", ""publication year: 1555""]"
"Urban survival films, or set in 2040 or DC Animated Universe films",<mark>Urban survival films</mark> or <mark>Films set in 2040</mark> or <mark>DC Animated Universe films</mark>,"[""urban survival films"", ""films set in 2040"", ""DC Animated Universe films""]"
Marine animals from Canada and the Eastern United States,<mark>Fauna of Canada</mark> that are also both <mark>Fauna of the Eastern United States</mark> and <mark>Marine animals</mark>,"[""Marine animals"", ""Canada"", ""Eastern United States""]"
1954 films about murderers,<mark>Films about murderers</mark> that are also <mark>1954 films</mark>,"[""1954 films"", ""about murderers""]"
Political novels set in Russia but not a Speculative fiction,<mark>Political novels</mark> that are also <mark>Novels set in Russia</mark> but not <mark>Speculative fiction novels</mark>,"[""novel"", ""political fiction"", ""set in Russia"", ""NOT speculative fiction""]"
2020s or South Korean political comedy or Indian political comedy-drama films,<mark>Indian political comedy-drama films</mark> or <mark>2020s political comedy films</mark> or <mark>South Korean political comedy films</mark>,"[""2020s films"", ""South Korean political comedy films"", ""Indian political comedy-drama films""]"
2010s Supernatural films shot in South Carolina,<mark>Films shot in South Carolina</mark> that are also both <mark>2010s films</mark> and <mark>Supernatural films</mark>,"[""films"", ""supernatural genre"", ""released in the 2010s"", ""shot in South Carolina""]"
historical high fantasy novels.,<mark>Historical novels subgenres</mark> that are also <mark>High fantasy novels</mark> but not <mark>Novels set in the future</mark>,"[""high fantasy"", ""historical setting"", ""novels""]"
Books by Feng Menglong or novels that are Chinese comedy or Ming dynasty,<mark>Books by Feng Menglong</mark> or <mark>Chinese comedy novels</mark> or <mark>Ming dynasty novels</mark>,"[""author:Feng Menglong"", ""novel"", ""genre:comedy"", ""Chinese literature"", ""Ming dynasty""]"
what are some Non-fiction books about Soviet repression or Belarusian books,<mark>Non-fiction books about Soviet repression</mark> or <mark>Belarusian books</mark>,"[""nonfiction books"", ""Soviet repression"", ""Belarusian books""]"
Canadian novels from 1985 or Robertson Davies novels,<mark>1985 Canadian novels</mark> or <mark>Novels by Robertson Davies</mark>,"[""Canadian novels published in 1985"", ""Robertson Davies novels""]"
2000 English books not about Europe,<mark>English books</mark> that are also <mark>2000 books</mark> but not <mark>Books about Europe</mark>,"[""books"", ""language: English"", ""publication year: 2000"", ""exclude subject: Europe""]"
Insects of the Solomon Islands or Western New Guinea,<mark>Insects of Western New Guinea</mark> or <mark>Insects of the Solomon Islands</mark>,"[""insects"", ""Solomon Islands"", ""Western New Guinea""]"
Arecaceae that are trees of Indo-China,<mark>Arecaceae</mark> that are also <mark>Trees of Indo-China</mark>,"[""Arecaceae"", ""trees"", ""Indochina""]"
1990s drama films that are Canadian adventure films,<mark>1990s drama films</mark> that are also <mark>Canadian adventure films</mark>,"[""type: film"", ""release decade: 1990s"", ""genre: drama"", ""genre: adventure"", ""country: Canada""]"
"Barbets,Birds described in 1965, Endemic birds of Zambia",<mark>Endemic birds of Zambia</mark> or <mark>Barbets</mark> or <mark>Birds described in 1965</mark>,"[""Barbets"", ""Birds described in 1965"", ""Endemic birds of Zambia""]"
