query,original_query,concepts
find me 1858 French novels or French children's novels,<mark>1858 French novels</mark> or <mark>French children's novels</mark>,"[""French novels"", ""1858 novels"", ""French children's novels""]"
Endemic fauna from Albania,<mark>Endemic fauna of Albania</mark>,"[""Endemic fauna of Albania"", ""Endemic vertebrates of Albania"", ""Endemic invertebrates of Albania"", ""Endemic freshwater fauna of Albania""]"
"Pinnipeds of Africa, Oceania, or Monachines",<mark>Pinnipeds of Africa</mark> or <mark>Pinnipeds of Oceania</mark> or <mark>Monachines</mark>,"[""Pinnipeds of Africa"", ""Pinnipeds of Oceania"", ""Monachinae (monachine seals)""]"
Kidnapping films in the UK,<mark>Films about kidnapping in the United Kingdom</mark>,"[""Kidnapping films"", ""Films set in the United Kingdom"", ""Films set in England"", ""Films set in Scotland"", ""Films set in Wales"", ""Films set in Northern Ireland""]"
Birds described in 1957 or Endemic birds of Panama,<mark>Endemic birds of Panama</mark> or <mark>Birds described in 1957</mark>,"[""Birds described in 1957"", ""Endemic birds of Panama""]"
what are Mesozoic cephalopods of North America or Asia,<mark>Mesozoic cephalopods of North America</mark> or <mark>Mesozoic cephalopods of Asia</mark>,"[""Mesozoic cephalopods of North America"", ""Mesozoic cephalopods of Asia""]"
History books about Hinduism or Books about Hindutva,<mark>Books about Hindutva</mark> or <mark>History books about Hinduism</mark>,"[""History books on Hinduism"", ""Books on Hindutva"", ""Books on Hindu nationalism"", ""Religious history books of India""]"
Biographical documentary crime war films but not about genocide,<mark>Crime war films</mark> that are also <mark>Biographical documentary films</mark> but not <mark>Films about genocide</mark>,"[""Biographical films"", ""Documentary films"", ""Crime films"", ""War films"", ""Films about genocide""]"
what are Novels by Ernst Jünger,<mark>Novels by Ernst Jünger</mark>,"[""Novels by Ernst J\u00fcnger"", ""German-language novels"", ""German philosophical novels""]"
Birds found in Sierra Madre Oriental that aren't found in Sierra Madre Occidental,<mark>Birds of the Sierra Madre Oriental</mark> that are not <mark>Birds of the Sierra Madre Occidental</mark>,"[""Birds of the Sierra Madre Oriental"", ""Birds of the Sierra Madre Occidental"", ""Montane birds of Mexico"", ""Birds of northeastern Mexico""]"
1985 speculative fiction novels that are not Science fiction.,<mark>1985 speculative fiction novels</mark> that are not <mark>Science fiction novels</mark>,"[""1985 novels"", ""Speculative fiction novels"", ""Science fiction novels"", ""Fantasy novels""]"
Rodents of Malaysia that are not in Indonesia,<mark>Rodents of Malaysia</mark> that are not <mark>Rodents of Indonesia</mark>,"[""Rodents of Malaysia"", ""Rodents of Indonesia"", ""Endemic rodents of Malaysia"", ""Rodents of Peninsular Malaysia"", ""Rodents of Malaysian Borneo""]"
Novels set in elementary and primary schools excluding American children's novels,<mark>Novels set in elementary and primary schools</mark> that are not <mark>American children's novels</mark>,"[""Novels set in primary schools"", ""Novels set in schools in the United Kingdom"", ""Adult novels set in schools"", ""American children's novels""]"
Flora of Palau or Guam or Carnivorous plants of the Pacific,<mark>Flora of Guam</mark> or <mark>Carnivorous plants of the Pacific</mark> or <mark>Flora of Palau</mark>,"[""Flora of Palau"", ""Flora of Guam"", ""Carnivorous plants of the Pacific""]"
1903 or Spanish silent short films,<mark>Spanish silent short films</mark> or <mark>1903 short films</mark>,"[""1903 films"", ""Spanish films"", ""Silent films"", ""Short films""]"
Birds of islands of the Atlantic Ocean and Vertebrates of Belize,<mark>Vertebrates of Belize</mark> that are also <mark>Birds of islands of the Atlantic Ocean</mark>,"[""Birds of Atlantic Ocean islands"", ""Vertebrates of Belize"", ""Birds of the Caribbean islands"", ""Birds of Macaronesia""]"
Extinct animals from the Quaternary period or extinct birds from Europe,<mark>Quaternary animals of Europe</mark> or <mark>Extinct birds of Europe</mark>,"[""Extinct animals"", ""Quaternary period fauna"", ""Extinct birds"", ""Birds of Europe""]"
Mammals from Lesotho,<mark>Mammals of Lesotho</mark>,"[""Mammals of Lesotho"", ""Endemic mammals of Lesotho"", ""Mammals of Southern Africa"", ""Mammals of the Drakensberg Mountains""]"
Angiosperms of Manchuria,<mark>Flora of Manchuria</mark> that are also <mark>Angiosperms</mark>,"[""Angiosperms"", ""Flora of Manchuria"", ""Flora of Northeast China"", ""Flora of the Russian Far East""]"
"Japanese LGBT novels, Shueisha novels, or novels by Yukio Mishima",<mark>Shueisha books</mark> or <mark>Japanese LGBT novels</mark> or <mark>Novels by Yukio Mishima</mark>,"[""Japanese LGBT novels"", ""Shueisha novels"", ""Novels by Yukio Mishima""]"
Non historical novels set in Vietnam,<mark>Novels set in Vietnam</mark> that are not <mark>Historical novels</mark>,"[""Novels set in Vietnam"", ""Historical novels"", ""Contemporary novels""]"
Flora of the United States that are both Flora of the Western United States and Apiaceae genera,<mark>Flora of the United States</mark> that are also both <mark>Flora of the Western United States</mark> and <mark>Apiaceae genera</mark>,"[""Flora of the United States"", ""Flora of the Western United States"", ""Apiaceae genera""]"
"Plants that exist in Mexico, Peru, and Nigeria",<mark>Flora of Mexico</mark> that are also both <mark>Flora of Peru</mark> and <mark>Flora of Nigeria</mark>,"[""Plants of Mexico"", ""Plants of Peru"", ""Plants of Nigeria""]"
Horror war films that are not Monster movies,<mark>Horror war films</mark> that are not <mark>Monster movies</mark>,"[""Horror films"", ""War films"", ""Monster movies""]"
Documentary films about elections that are not about American politics,<mark>Documentary films about elections</mark> that are not <mark>Documentary films about American politics</mark>,"[""Documentary films about elections"", ""Documentary films about political campaigns"", ""United States politics""]"
what are the Flora of the Zanzibar Archipelago,<mark>Flora of the Zanzibar Archipelago</mark>,"[""Flora of the Zanzibar Archipelago"", ""Flora of Unguja Island"", ""Flora of Pemba Island"", ""Endemic plants of the Zanzibar Archipelago"", ""Coastal East African island flora""]"
what are  some Flora of Madagascar that are also Magnoliales genera?,<mark>Flora of Madagascar</mark> that are also <mark>Magnoliales genera</mark>,"[""Flora of Madagascar"", ""Magnoliales genera"", ""Annonaceae genera"", ""Myristicaceae genera""]"
Non American pornographic horror films,<mark>Pornographic films</mark> that are also <mark>Pornographic horror films</mark> but not <mark>American pornographic films</mark>,"[""Pornographic horror films"", ""Films of the United States"", ""European films"", ""Asian films"", ""Latin American films"", ""Films of Oceania""]"
Non-comedic musical films from 1932,<mark>1932 musical films</mark> that are not <mark>1930s comedy films</mark>,"[""Musical films"", ""Comedy films"", ""1930s films""]"
what are some Birds described in 2004,<mark>Birds described in 2004</mark>,"[""Bird species described in the 2000s"", ""Passerine birds described in the 2000s"", ""Seabird species described in the 2000s"", ""Bird subspecies described in the 2000s""]"
Insects found in both Africa and the Canary Islands,<mark>Insects of Africa</mark> that are also both <mark>Moths of Africa</mark> and <mark>Fauna of the Canary Islands</mark>,"[""Insects of Africa"", ""Insects of the Canary Islands"", ""Insects of Macaronesia""]"
Mammals from both North and South America that are Neogene,<mark>Fauna of North America</mark> that are also both <mark>Miocene mammals of South America</mark> and <mark>Neogene mammals</mark>,"[""Neogene mammals"", ""Mammals of North America"", ""Mammals of South America""]"
Flora of French Guiana but not Brazil,<mark>Flora of French Guiana</mark> that are not <mark>Flora of Brazil</mark>,"[""Flora of French Guiana"", ""Flora of Brazil"", ""Guiana Shield flora"", ""Amazon rainforest flora""]"
"Irish slasher, Irish supernatural horror, or Swedish comedy horror films",<mark>Swedish comedy horror films</mark> or <mark>Irish slasher films</mark> or <mark>Irish supernatural horror films</mark>,"[""Irish slasher films"", ""Irish supernatural horror films"", ""Swedish comedy horror films""]"
American spy and drama films about mental health,<mark>Films about mental health</mark> that are also both <mark>American spy films</mark> and <mark>Drama films</mark>,"[""American spy films"", ""American drama films"", ""Films about mental health"", ""Films about psychiatry""]"
Films based on Around the World in Eighty Days or set in Sylhet,<mark>Films set in Sylhet</mark> or <mark>Films based on Around the World in Eighty Days</mark>,"[""Film adaptations of Around the World in Eighty Days"", ""Films set in Sylhet"", ""Films set in Bangladesh""]"
1979 American Biographical novels,<mark>Biographical novels</mark> that are also <mark>1979 American novels</mark>,"[""Biographical novels"", ""American novels"", ""1970s novels""]"
Avant-garde and experimental films from 1910,<mark>1910s avant-garde and experimental films</mark>,"[""Avant-garde films"", ""Experimental films"", ""1910s films"", ""Silent films""]"
what are some movies based on works by Alexander Ostrovsky,<mark>Films based on works by Alexander Ostrovsky</mark>,"[""Films based on works by Alexander Ostrovsky"", ""Films based on Russian plays"", ""Soviet film adaptations of stage plays"", ""Russian-language film adaptations of plays""]"
Birds of North America and Falconiformes (sensu lato) that are Fauna of northern South America,<mark>Fauna of northern South America</mark> that are also both <mark>Birds of North America</mark> and <mark>Falconiformes (sensu lato)</mark>,"[""Birds of North America"", ""Falconiformes (sensu lato)"", ""Fauna of northern South America""]"
Single species plants that are ornamental plants and from the Pacific,<mark>Monotypic plant genera</mark> that are also both <mark>Ornamental plants</mark> and <mark>Flora of the Pacific</mark>,"[""Monotypic plant genera"", ""Ornamental plants"", ""Native plants of the Pacific Islands""]"
Films based on works by Bob Kane that are not animated DC comic films,<mark>Films based on works by Bob Kane</mark> that are not <mark>Animated films based on DC Comics</mark>,"[""Films based on works by Bob Kane"", ""Animated DC Comics films""]"
Trees of the Caribbean that are also in the Southeastern United States and western South America,<mark>Flora of the Caribbean</mark> that are also both <mark>Trees of the Southeastern United States</mark> and <mark>Trees of western South America</mark>,"[""Trees of the Caribbean"", ""Trees of the Southeastern United States"", ""Trees of western South America""]"
2020s or South Korean political comedy or Indian political comedy-drama films,<mark>Indian political comedy-drama films</mark> or <mark>2020s political comedy films</mark> or <mark>South Korean political comedy films</mark>,"[""2020s films"", ""South Korean political comedy films"", ""Indian political comedy-drama films""]"
Films that are either Portuguese science fiction films or 2010s science fiction comedy-drama films,<mark>2010s science fiction comedy-drama films</mark> or <mark>Portuguese science fiction films</mark>,"[""Portuguese science fiction films"", ""2010s science fiction comedy-drama films""]"
Fauna of the Caribbean that are Fauna of East Asia,<mark>Fauna of the Caribbean</mark> that are also <mark>Fauna of East Asia</mark>,"[""Fauna of the Caribbean"", ""Fauna of East Asia""]"
1992 American children's comedy animated musical films,<mark>1992 films</mark> that are also both <mark>Animated musical films</mark> and <mark>American children's comedy films</mark>,"[""1990s films"", ""American films"", ""Children's films"", ""Animated musical films"", ""Comedy films""]"
"1558, 1554, or 1555 books",<mark>1558 books</mark> or <mark>1554 books</mark> or <mark>1555 books</mark>,"[""Books published in 1554"", ""Books published in 1555"", ""Books published in 1558""]"
"Urban survival films, or set in 2040 or DC Animated Universe films",<mark>Urban survival films</mark> or <mark>Films set in 2040</mark> or <mark>DC Animated Universe films</mark>,"[""Survival films"", ""Films set in urban environments"", ""Films set in the near future"", ""DC Animated Universe films""]"
Marine animals from Canada and the Eastern United States,<mark>Fauna of Canada</mark> that are also both <mark>Fauna of the Eastern United States</mark> and <mark>Marine animals</mark>,"[""Marine animals of Canada"", ""Marine animals of the Eastern United States"", ""Northwest Atlantic Ocean marine species""]"
1954 films about murderers,<mark>Films about murderers</mark> that are also <mark>1954 films</mark>,"[""1954 films"", ""Films about murderers"", ""Crime films"", ""Thriller films""]"
Political novels set in Russia but not a Speculative fiction,<mark>Political novels</mark> that are also <mark>Novels set in Russia</mark> but not <mark>Speculative fiction novels</mark>,"[""Political novels"", ""Novels set in Russia"", ""Speculative fiction novels""]"
2010s Supernatural films shot in South Carolina,<mark>Films shot in South Carolina</mark> that are also both <mark>2010s films</mark> and <mark>Supernatural films</mark>,"[""Supernatural films"", ""2010s films"", ""Films shot in South Carolina""]"
historical high fantasy novels.,<mark>Historical novels subgenres</mark> that are also <mark>High fantasy novels</mark> but not <mark>Novels set in the future</mark>,"[""High fantasy novels"", ""Historical fantasy novels"", ""Secondary-world fantasy novels"", ""Medieval-inspired fantasy novels"", ""Fantasy novels set in pre-industrial societies""]"
Books by Feng Menglong or novels that are Chinese comedy or Ming dynasty,<mark>Books by Feng Menglong</mark> or <mark>Chinese comedy novels</mark> or <mark>Ming dynasty novels</mark>,"[""Books by Feng Menglong"", ""Chinese comedy novels"", ""Ming dynasty novels""]"
what are some Non-fiction books about Soviet repression or Belarusian books,<mark>Non-fiction books about Soviet repression</mark> or <mark>Belarusian books</mark>,"[""Non-fiction books about political repression in the Soviet Union"", ""Gulag memoirs"", ""Belarusian books""]"
Cenozoic birds of Asia or Africa or Paleogene birds of Asia,<mark>Paleogene birds of Asia</mark> or <mark>Cenozoic birds of Asia</mark> or <mark>Cenozoic birds of Africa</mark>,"[""Cenozoic birds"", ""Paleogene birds"", ""Birds of Asia"", ""Birds of Africa""]"
2000 English books not about Europe,<mark>English books</mark> that are also <mark>2000 books</mark> but not <mark>Books about Europe</mark>,"[""Books published in 2000"", ""English-language books"", ""Books about Europe""]"
Insects of the Solomon Islands or Western New Guinea,<mark>Insects of Western New Guinea</mark> or <mark>Insects of the Solomon Islands</mark>,"[""Insects of the Solomon Islands"", ""Insects of Western New Guinea""]"
Arecaceae that are trees of Indo-China,<mark>Arecaceae</mark> that are also <mark>Trees of Indo-China</mark>,"[""Arecaceae family"", ""Arborescent palms"", ""Trees of Indo-China""]"
1990s drama films that are Canadian adventure films,<mark>1990s drama films</mark> that are also <mark>Canadian adventure films</mark>,"[""1990s films"", ""Drama films"", ""Adventure films"", ""Canadian films""]"
"Barbets,Birds described in 1965, Endemic birds of Zambia",<mark>Endemic birds of Zambia</mark> or <mark>Barbets</mark> or <mark>Birds described in 1965</mark>,"[""Barbets"", ""Birds described in 1965"", ""Endemic birds of Zambia""]"
Manitoba set novels,<mark>Novels set in Manitoba</mark>,"[""Novels set in Manitoba"", ""Fiction set in Winnipeg"", ""Novels set in the Canadian Prairies"", ""Canadian regional fiction""]"
what are Aquatic plants that are also Palearctic flora but not Flora of Europe?,<mark>Aquatic plants</mark> that are also <mark>Palearctic flora</mark> but not <mark>Flora of Europe</mark>,"[""Aquatic plants"", ""Palearctic flora"", ""Flora of Europe"", ""Flora of Central Asia"", ""Flora of Siberia""]"
Religious fiction books about death,<mark>Fiction books</mark> that are also both <mark>Books about religion</mark> and <mark>Novels about death</mark>,"[""Religious fiction novels"", ""Spiritual novels about death and dying"", ""Christian fiction about the afterlife"", ""Faith-based fiction about grief and loss"", ""Allegorical religious novels on mortality""]"
what are Australian travel books,<mark>Australian travel books</mark>,"[""Travel literature about Australia"", ""Travel guidebooks to Australia"", ""Australian travel memoirs"", ""Australian authors of travel writing""]"
African Quaternary mammals that are also both Pleistocene mammals of Asia and Pleistocene animals of North America,<mark>Quaternary mammals of Africa</mark> that are also both <mark>Pleistocene mammals of Asia</mark> and <mark>Pleistocene animals of North America</mark>,"[""Quaternary mammals of Africa"", ""Pleistocene mammals of Asia"", ""Pleistocene animals of North America""]"
Plants from either East Timor or Brunei,<mark>Flora of East Timor</mark> or <mark>Flora of Brunei</mark>,"[""Flora of East Timor"", ""Flora of Brunei""]"
Mammals of Angola excluding Fauna of Southern Africa,<mark>Mammals of Angola</mark> that are not <mark>Fauna of Southern Africa</mark>,"[""Mammals of Angola"", ""Fauna of Southern Africa"", ""Endemic mammals of Angola"", ""Mammals of Central Africa""]"
Horror films from Serbia,<mark>Serbian horror films</mark>,"[""Horror films"", ""Serbian films"", ""Serbian-language films""]"
"what are some Novels by Ernst Jünger, German magic realism novels, or 1985 German novels?",<mark>Novels by Ernst Jünger</mark> or <mark>German magic realism novels</mark> or <mark>1985 German novels</mark>,"[""Novels by Ernst J\u00fcnger"", ""German magical realism novels"", ""1985 German novels""]"
Flora of New Mexico and Trees of Northwestern Mexico,<mark>Trees of Northwestern Mexico</mark> that are also <mark>Flora of New Mexico</mark>,"[""Flora of New Mexico"", ""Trees of Northwestern Mexico"", ""Chihuahuan Desert flora"", ""Madrean pine\u2013oak woodlands trees""]"
Series of Children's books that are Novellas,<mark>Series of children's books</mark> that are also both <mark>Novellas</mark> and <mark>Children's books</mark>,"[""Children's book series"", ""Novella series"", ""Children's novellas""]"
Flora of Indomalesia that are Halophytes,<mark>Halophytes</mark> that are also <mark>Flora of Indomalesia</mark>,"[""Flora of Indomalaya"", ""Halophytic plants"", ""Mangrove plants"", ""Salt marsh plants""]"
History books about war and families,<mark>Books about war</mark> that are also both <mark>History books</mark> and <mark>Novels about families</mark>,"[""Military history books"", ""Family social history"", ""Home front history"", ""Civilian life in wartime"", ""History of military families""]"
Indian films about child abduction,<mark>Films about child abduction in India</mark>,"[""Indian films"", ""Films about child abduction"", ""Hindi-language films"", ""Indian thriller films""]"
Hispanic and Latino American novels not set in the US,<mark>Hispanic and Latino American novels</mark> that are not <mark>Novels set in the United States</mark>,"[""Hispanic and Latino American novels"", ""Novels set in Latin America"", ""Novels set in Spain"", ""Novels set in the Caribbean"", ""Novels set in the United States""]"
"Mammals that are from Samoa, New Caledonia, or American Somoa",<mark>Mammals of Samoa</mark> or <mark>Mammals of New Caledonia</mark> or <mark>Mammals of American Samoa</mark>,"[""Mammals of Samoa"", ""Mammals of American Samoa"", ""Mammals of New Caledonia""]"
Carboniferous amphibians or Pennsylvanian animals of North America,<mark>Carboniferous amphibians of North America</mark> or <mark>Pennsylvanian animals of North America</mark>,"[""Carboniferous amphibians"", ""Pennsylvanian animals of North America""]"
Neotropical realm flora that is also in the Northeastern US but not Canada,<mark>Neotropical realm flora</mark> that are also <mark>Flora of the Northeastern United States</mark> but not <mark>Flora of Canada</mark>,"[""Flora of the Neotropical realm"", ""Flora of the Northeastern United States"", ""Flora of Canada""]"
Independent films of 1964,<mark>1964 independent films</mark>,"[""Independent films"", ""1964 films""]"
"Flora of the Savage Islands, Western Sahara, or Trees of the Arabian Peninsula",<mark>Flora of the Savage Islands</mark> or <mark>Trees of the Arabian Peninsula</mark> or <mark>Flora of Western Sahara</mark>,"[""Flora of the Savage Islands"", ""Flora of Western Sahara"", ""Trees of the Arabian Peninsula""]"
"Plants found in Melanesia, Java, and Cambodia",<mark>Flora of Melanesia</mark> that are also both <mark>Flora of Java</mark> and <mark>Flora of Cambodia</mark>,"[""Flora of Melanesia"", ""Flora of Java, Indonesia"", ""Flora of Cambodia""]"
Flora of Europe and Montana,<mark>Flora of Europe</mark> that are also both <mark>Flora of Montana</mark> and <mark>Flora of Northern Europe</mark>,"[""Flora of Europe"", ""Flora of Montana"", ""Flora of the Rocky Mountains"", ""Flora of the Great Plains""]"
